Treatment,Bulk_density,Volume_of_media_initial,Total_porosity,Water_content,Water_applied
Control,220.5,0.001426,0.68,0.0628,0.0002
Mulch25,219.3,0.0012,0.848,0.0378,0.00025
Mulch50,228,0.00108,0.847,0.0316,0.0002
Mulch75,192.2,0.001426,0.798,0.0159,0.0001
B300_25,246,0.00141,0.685,0.0366,0.00018
B300_50,264,0.001308,0.702,0.1092,0.000145
B300_75,251.3,0.001436,0.634,0.1403,0.00018
B400_25,255.3,0.001444,0.707,0.0581,0.000185
B400_50,249,0.001486,0.653,0.1028,0.000155
B400_75,255.3,0.001484,0.624,0.1345,0.00018
B500_25,244.9,0.001544,0.641,0.1208,0.00018
B500_50,238.7,0.001506,0.66,0.1051,0.00016
B500_75,236.9,0.0014,0.743,0.1409,0.00019